  
       XFOIL         Version 6.96
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   4.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0131   0.01434   0.00562   0.0011   0.5565   0.5735
   1.000   0.0879   0.01446   0.00572   0.0037   0.5076   0.6199
   2.000   0.1885   0.01472   0.00598   0.0064   0.4622   0.6669
   3.000   0.2886   0.01511   0.00641   0.0091   0.4189   0.7147
   4.000   0.3877   0.01564   0.00702   0.0120   0.3785   0.7624
   5.000   0.4850   0.01639   0.00784   0.0151   0.3401   0.8087
   6.000   0.5796   0.01739   0.00884   0.0185   0.3029   0.8535
   7.000   0.6744   0.01857   0.01008   0.0215   0.2672   0.8960
   8.000   0.7687   0.02007   0.01159   0.0238   0.2339   0.9365
   9.000   0.8669   0.02204   0.01354   0.0241   0.2025   0.9716
  10.000   0.9703   0.02460   0.01610   0.0214   0.1733   0.9983
  11.000   0.9824   0.02688   0.01841   0.0348   0.1555   1.0000
  12.000   1.0097   0.03055   0.02216   0.0429   0.1384   1.0000
  13.000   1.0368   0.03589   0.02761   0.0475   0.1233   1.0000
  14.000   1.0559   0.04313   0.03502   0.0496   0.1109   1.0000
  15.000   1.0655   0.05245   0.04457   0.0495   0.1005   1.0000
  16.000   1.0655   0.06394   0.05634   0.0473   0.0917   1.0000
  17.000   1.0565   0.07753   0.07025   0.0432   0.0841   1.0000
  18.000   1.0393   0.09311   0.08615   0.0375   0.0776   1.0000
  19.000   1.0174   0.11013   0.10347   0.0303   0.0718   1.0000
  20.000   0.9969   0.12767   0.12127   0.0218   0.0664   1.0000
   0.000  -0.0131   0.01434   0.00562   0.0011   0.5565   0.5735
  -1.000  -0.1138   0.01436   0.00569  -0.0016   0.6096   0.5278
  -2.000  -0.2139   0.01453   0.00592  -0.0044   0.6670   0.4827
  -3.000  -0.3137   0.01489   0.00639  -0.0072   0.7281   0.4380
  -4.000  -0.4140   0.01549   0.00708  -0.0099   0.7906   0.3938
  -5.000  -0.5158   0.01640   0.00802  -0.0122   0.8474   0.3506
  -6.000  -0.6180   0.01760   0.00919  -0.0139   0.8948   0.3087
  -7.000  -0.7206   0.01906   0.01058  -0.0148   0.9342   0.2690
  -8.000  -0.8295   0.02089   0.01234  -0.0135   0.9642   0.2316
  -9.000  -0.9330   0.02305   0.01446  -0.0119   0.9910   0.1990
 -10.000  -0.9741   0.02525   0.01664  -0.0205   1.0000   0.1760
 -11.000  -0.9855   0.02806   0.01944  -0.0332   1.0000   0.1587
 -12.000  -1.0127   0.03203   0.02350  -0.0406   1.0000   0.1421
 -13.000  -1.0398   0.03745   0.02905  -0.0451   1.0000   0.1277
 -14.000  -1.0604   0.04448   0.03626  -0.0474   1.0000   0.1155
 -15.000  -1.0733   0.05328   0.04528  -0.0478   1.0000   0.1054
 -16.000  -1.0774   0.06403   0.05627  -0.0463   1.0000   0.0968
 -17.000  -1.0726   0.07675   0.06924  -0.0431   1.0000   0.0895
 -18.000  -1.0614   0.09115   0.08396  -0.0383   1.0000   0.0829
 -19.000  -1.0426   0.10741   0.10059  -0.0319   1.0000   0.0768
 -20.000  -1.0163   0.12561   0.11913  -0.0234   1.0000   0.0714
  10.000   0.9703   0.02460   0.01610   0.0214   0.1733   0.9984
  10.333   0.9776   0.02522   0.01676   0.0256   0.1669   1.0000
  10.667   0.9774   0.02599   0.01751   0.0307   0.1611   1.0000
  11.000   0.9824   0.02688   0.01841   0.0348   0.1555   1.0000
  11.333   0.9905   0.02793   0.01949   0.0380   0.1495   1.0000
  11.667   0.9980   0.02924   0.02079   0.0408   0.1441   1.0000
  12.000   1.0097   0.03055   0.02216   0.0429   0.1384   1.0000
  12.333   1.0176   0.03223   0.02385   0.0448   0.1333   1.0000
  12.667   1.0285   0.03391   0.02559   0.0462   0.1282   1.0000
  13.000   1.0368   0.03589   0.02761   0.0475   0.1233   1.0000
  13.333   1.0436   0.03812   0.02988   0.0485   0.1192   1.0000
  13.667   1.0520   0.04038   0.03224   0.0491   0.1148   1.0000
  14.000   1.0559   0.04313   0.03502   0.0496   0.1109   1.0000
  14.333   1.0610   0.04591   0.03789   0.0498   0.1073   1.0000
  14.667   1.0652   0.04893   0.04100   0.0498   0.1037   1.0000
  15.000   1.0654   0.05245   0.04457   0.0495   0.1005   1.0000
  15.333   1.0674   0.05594   0.04816   0.0490   0.0975   1.0000
  15.667   1.0681   0.05970   0.05203   0.0483   0.0944   1.0000
  16.000   1.0655   0.06394   0.05634   0.0473   0.0917   1.0000
  16.333   1.0632   0.06824   0.06072   0.0461   0.0893   1.0000
  16.667   1.0613   0.07265   0.06527   0.0448   0.0866   1.0000
  17.000   1.0566   0.07753   0.07025   0.0432   0.0841   1.0000
  17.333   1.0508   0.08257   0.07534   0.0415   0.0821   1.0000
  17.667   1.0461   0.08764   0.08055   0.0397   0.0799   1.0000
  18.000   1.0393   0.09311   0.08615   0.0375   0.0776   1.0000
  18.333   1.0320   0.09871   0.09184   0.0352   0.0756   1.0000
  18.667   1.0272   0.10392   0.09708   0.0330   0.0738   1.0000
  19.000   1.0174   0.11013   0.10347   0.0303   0.0718   1.0000
  19.333   1.0075   0.11645   0.10993   0.0273   0.0698   1.0000
  19.667   1.0004   0.12237   0.11593   0.0244   0.0680   1.0000
  20.000   0.9969   0.12768   0.12127   0.0218   0.0664   1.0000
 -10.000  -0.9741   0.02525   0.01664  -0.0205   1.0000   0.1760
 -10.333  -0.9770   0.02602   0.01742  -0.0252   1.0000   0.1702
 -10.667  -0.9817   0.02693   0.01833  -0.0293   1.0000   0.1640
 -11.000  -0.9855   0.02806   0.01944  -0.0332   1.0000   0.1586
 -11.333  -0.9954   0.02916   0.02060  -0.0360   1.0000   0.1527
 -11.667  -1.0027   0.03058   0.02201  -0.0386   1.0000   0.1472
 -12.000  -1.0127   0.03203   0.02350  -0.0406   1.0000   0.1421
 -12.333  -1.0223   0.03366   0.02517  -0.0424   1.0000   0.1368
